artist_name,artist_followers,artist_genres,artist_popularity,track_name,album_name,release_date,track_duration,track_popularity
Doja Cat,32188568,"dance pop, pop",87,Streets,Hot Pink,2019-11-07,226,81
Ariana Grande,102039011,pop,96,positions,Positions,2020-10-30,172,78
Olivia Rodrigo,42203840,pop,88,traitor,SOUR,2021-05-21,229,83
Duncan Laurence,626129,dutch pop,67,Arcade (feat. FLETCHER),Small Town Boy,2020-11-27,187,62
Bella Poarch,1350173,modern alternative pop,64,Build a Bitch,Build a Bitch,2021-05-14,122,65
CJ,254704,nyc rap,63,Whoopty,Whoopty,2020-08-20,123,63
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,205,75
Maroon 5,43536274,pop,87,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),2021-03-03,227,22
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Shivers,Shivers,2021-09-13,207,15
Lorde,10111771,"art pop, metropopolis, nz pop, pop",78,Solar Power,Solar Power,2021-06-10,192,0
Dua Lipa,45222497,"dance pop, pop, uk pop",88,We're Good,Future Nostalgia (The Moonlight Edition),2021-02-11,165,65
The Kid LAROI,5944181,australian hip hop,85,WITHOUT YOU (with Miley Cyrus),WITHOUT YOU (with Miley Cyrus),2021-04-30,161,61
Taylor Swift,128480167,pop,100,Love Story (Taylor’s Version),Love Story (Taylor’s Version),2021-02-12,235,75
Roddy Ricch,11061782,"melodic rap, rap, trap",80,late at night,late at night,2021-06-04,174,57
Lil Tjay,9305650,"brooklyn drill, melodic rap, nyc rap, rap",80,Calling My Phone,Destined 2 Win,2021-04-02,205,74
Polo G,12140174,"chicago rap, rap",81,RAPSTAR,Hall of Fame,2021-06-11,165,78
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,Girls Want Girls (with Lil Baby),Certified Lover Boy,2021-09-03,221,71
24kGoldn,2255386,"cali rap, pop rap",71,Mood (feat. iann dior),El Dorado,2021-03-26,140,79
Trinidad Cardona,304743,sped up,64,Dinero,Dinero,2018-02-02,160,63
Bad Bunny,87935792,"reggaeton, trap latino, urbano latino",96,LA NOCHE DE ANOCHE,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,203,73
Justin Bieber,79521536,"canadian pop, pop",92,Anyone,Anyone,2021-01-01,190,63
THE ANXIETY,192594,modern alternative pop,59,Meet Me At Our Spot,THE ANXIETY,2020-03-13,162,71
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Afterglow,Afterglow,2020-12-21,185,66
Black Eyed Peas,8616322,"dance pop, pop, pop rap",81,GIRL LIKE ME,TRANSLATION,2020-11-02,222,65
